5: inc a.*
6: dec c.*
\d: jnz c -2.*

{a=12, b=0, c=0, d=0}
10: inc a      {a=479005241, b=0, c=28, d=40}
11: dec d      {a=479005241, b=0, c=28, d=39}
9: jnz d -2   {a=479005241, b=0, c=28, d=39}
10: inc a      {a=479005242, b=0, c=28, d=39}
11: dec d      {a=479005242, b=0, c=28, d=38}
9: jnz d -2   {a=479005242, b=0, c=28, d=38}
10: inc a      {a=479005243, b=0, c=28, d=38}
11: dec d      {a=479005243, b=0, c=28, d=37}
9: jnz d -2   {a=479005243, b=0, c=28, d=37}
10: inc a      {a=479005244, b=0, c=28, d=37}
11: dec d      {a=479005244, b=0, c=28, d=36}
9: jnz d -2   {a=479005244, b=0, c=28, d=36}
10: inc a      {a=479005245, b=0, c=28, d=36}
11: dec d      {a=479005245, b=0, c=28, d=35}
9: jnz d -2   {a=479005245, b=0, c=28, d=35}
10: inc a      {a=479005246, b=0, c=28, d=35}
11: dec d      {a=479005246, b=0, c=28, d=34}
9: jnz d -2   {a=479005246, b=0, c=28, d=34}
10: inc a      {a=479005247, b=0, c=28, d=34}
11: dec d      {a=479005247, b=0, c=28, d=33}
9: jnz d -2   {a=479005247, b=0, c=28, d=33}
10: inc a      {a=479005248, b=0, c=28, d=33}
11: dec d      {a=479005248, b=0, c=28, d=32}
9: jnz d -2   {a=479005248, b=0, c=28, d=32}
10: inc a      {a=479005249, b=0, c=28, d=32}
11: dec d      {a=479005249, b=0, c=28, d=31}
9: jnz d -2   {a=479005249, b=0, c=28, d=31}
10: inc a      {a=479005250, b=0, c=28, d=31}
11: dec d      {a=479005250, b=0, c=28, d=30}
9: jnz d -2   {a=479005250, b=0, c=28, d=30}
10: inc a      {a=479005251, b=0, c=28, d=30}
11: dec d      {a=479005251, b=0, c=28, d=29}
9: jnz d -2   {a=479005251, b=0, c=28, d=29}
10: inc a      {a=479005252, b=0, c=28, d=29}
11: dec d      {a=479005252, b=0, c=28, d=28}
9: jnz d -2   {a=479005252, b=0, c=28, d=28}
10: inc a      {a=479005253, b=0, c=28, d=28}
11: dec d      {a=479005253, b=0, c=28, d=27}
9: jnz d -2   {a=479005253, b=0, c=28, d=27}
10: inc a      {a=479005254, b=0, c=28, d=27}
11: dec d      {a=479005254, b=0, c=28, d=26}
9: jnz d -2   {a=479005254, b=0, c=28, d=26}
10: inc a      {a=479005255, b=0, c=28, d=26}
11: dec d      {a=479005255, b=0, c=28, d=25}
9: jnz d -2   {a=479005255, b=0, c=28, d=25}
10: inc a      {a=479005256, b=0, c=28, d=25}
11: dec d      {a=479005256, b=0, c=28, d=24}
9: jnz d -2   {a=479005256, b=0, c=28, d=24}
10: inc a      {a=479005257, b=0, c=28, d=24}
11: dec d      {a=479005257, b=0, c=28, d=23}
9: jnz d -2   {a=479005257, b=0, c=28, d=23}
10: inc a      {a=479005258, b=0, c=28, d=23}
11: dec d      {a=479005258, b=0, c=28, d=22}
9: jnz d -2   {a=479005258, b=0, c=28, d=22}
10: inc a      {a=479005259, b=0, c=28, d=22}
11: dec d      {a=479005259, b=0, c=28, d=21}
9: jnz d -2   {a=479005259, b=0, c=28, d=21}
10: inc a      {a=479005260, b=0, c=28, d=21}
11: dec d      {a=479005260, b=0, c=28, d=20}
9: jnz d -2   {a=479005260, b=0, c=28, d=20}
10: inc a      {a=479005261, b=0, c=28, d=20}
11: dec d      {a=479005261, b=0, c=28, d=19}
9: jnz d -2   {a=479005261, b=0, c=28, d=19}
10: inc a      {a=479005262, b=0, c=28, d=19}
11: dec d      {a=479005262, b=0, c=28, d=18}
9: jnz d -2   {a=479005262, b=0, c=28, d=18}
10: inc a      {a=479005263, b=0, c=28, d=18}
11: dec d      {a=479005263, b=0, c=28, d=17}
9: jnz d -2   {a=479005263, b=0, c=28, d=17}
10: inc a      {a=479005264, b=0, c=28, d=17}
11: dec d      {a=479005264, b=0, c=28, d=16}
9: jnz d -2   {a=479005264, b=0, c=28, d=16}
10: inc a      {a=479005265, b=0, c=28, d=16}
11: dec d      {a=479005265, b=0, c=28, d=15}
9: jnz d -2   {a=479005265, b=0, c=28, d=15}
10: inc a      {a=479005266, b=0, c=28, d=15}
11: dec d      {a=479005266, b=0, c=28, d=14}
9: jnz d -2   {a=479005266, b=0, c=28, d=14}
10: inc a      {a=479005267, b=0, c=28, d=14}
11: dec d      {a=479005267, b=0, c=28, d=13}
9: jnz d -2   {a=479005267, b=0, c=28, d=13}
10: inc a      {a=479005268, b=0, c=28, d=13}
11: dec d      {a=479005268, b=0, c=28, d=12}
9: jnz d -2   {a=479005268, b=0, c=28, d=12}
10: inc a      {a=479005269, b=0, c=28, d=12}
11: dec d      {a=479005269, b=0, c=28, d=11}
9: jnz d -2   {a=479005269, b=0, c=28, d=11}
10: inc a      {a=479005270, b=0, c=28, d=11}
11: dec d      {a=479005270, b=0, c=28, d=10}
9: jnz d -2   {a=479005270, b=0, c=28, d=10}
10: inc a      {a=479005271, b=0, c=28, d=10}
11: dec d      {a=479005271, b=0, c=28, d=9}
9: jnz d -2   {a=479005271, b=0, c=28, d=9}
10: inc a      {a=479005272, b=0, c=28, d=9}
11: dec d      {a=479005272, b=0, c=28, d=8}
9: jnz d -2   {a=479005272, b=0, c=28, d=8}
10: inc a      {a=479005273, b=0, c=28, d=8}
11: dec d      {a=479005273, b=0, c=28, d=7}
9: jnz d -2   {a=479005273, b=0, c=28, d=7}
10: inc a      {a=479005274, b=0, c=28, d=7}
11: dec d      {a=479005274, b=0, c=28, d=6}
9: jnz d -2   {a=479005274, b=0, c=28, d=6}
10: inc a      {a=479005275, b=0, c=28, d=6}
11: dec d      {a=479005275, b=0, c=28, d=5}
9: jnz d -2   {a=479005275, b=0, c=28, d=5}
10: inc a      {a=479005276, b=0, c=28, d=5}
11: dec d      {a=479005276, b=0, c=28, d=4}
9: jnz d -2   {a=479005276, b=0, c=28, d=4}
10: inc a      {a=479005277, b=0, c=28, d=4}
11: dec d      {a=479005277, b=0, c=28, d=3}
9: jnz d -2   {a=479005277, b=0, c=28, d=3}
10: inc a      {a=479005278, b=0, c=28, d=3}
11: dec d      {a=479005278, b=0, c=28, d=2}
9: jnz d -2   {a=479005278, b=0, c=28, d=2}
10: inc a      {a=479005279, b=0, c=28, d=2}
11: dec d      {a=479005279, b=0, c=28, d=1}
9: jnz d -2   {a=479005279, b=0, c=28, d=1}
10: inc a      {a=479005280, b=0, c=28, d=1}
11: dec d      {a=479005280, b=0, c=28, d=0}
12: jnz d -2   {a=479005280, b=0, c=28, d=0}
13: dec c      {a=479005280, b=0, c=27, d=0}
8: jnz c -5   {a=479005280, b=0, c=27, d=0}
9: cpy 80 d   {a=479005280, b=0, c=27, d=80}
10: inc a      {a=479005281, b=0, c=27, d=80}
11: dec d      {a=479005281, b=0, c=27, d=79}
9: jnz d -2   {a=479005281, b=0, c=27, d=79}
10: inc a      {a=479005282, b=0, c=27, d=79}
11: dec d      {a=479005282, b=0, c=27, d=78}
9: jnz d -2   {a=479005282, b=0, c=27, d=78}
10: inc a      {a=479005283, b=0, c=27, d=78}
11: dec d      {a=479005283, b=0, c=27, d=77}
9: jnz d -2   {a=479005283, b=0, c=27, d=77}
10: inc a      {a=479005284, b=0, c=27, d=77}
11: dec d      {a=479005284, b=0, c=27, d=76}
9: jnz d -2   {a=479005284, b=0, c=27, d=76}
10: inc a      {a=479005285, b=0, c=27, d=76}
11: dec d      {a=479005285, b=0, c=27, d=75}
9: jnz d -2   {a=479005285, b=0, c=27, d=75}
10: inc a      {a=479005286, b=0, c=27, d=75}
11: dec d      {a=479005286, b=0, c=27, d=74}
9: jnz d -2   {a=479005286, b=0, c=27, d=74}
10: inc a      {a=479005287, b=0, c=27, d=74}
11: dec d      {a=479005287, b=0, c=27, d=73}
9: jnz d -2   {a=479005287, b=0, c=27, d=73}
10: inc a      {a=479005288, b=0, c=27, d=73}
11: dec d      {a=479005288, b=0, c=27, d=72}
9: jnz d -2   {a=479005288, b=0, c=27, d=72}
10: inc a      {a=479005289, b=0, c=27, d=72}
11: dec d      {a=479005289, b=0, c=27, d=71}
9: jnz d -2   {a=479005289, b=0, c=27, d=71}
10: inc a      {a=479005290, b=0, c=27, d=71}
11: dec d      {a=479005290, b=0, c=27, d=70}
9: jnz d -2   {a=479005290, b=0, c=27, d=70}
10: inc a      {a=479005291, b=0, c=27, d=70}
11: dec d      {a=479005291, b=0, c=27, d=69}
9: jnz d -2   {a=479005291, b=0, c=27, d=69}
10: inc a      {a=479005292, b=0, c=27, d=69}
11: dec d      {a=479005292, b=0, c=27, d=68}
9: jnz d -2   {a=479005292, b=0, c=27, d=68}
10: inc a      {a=479005293, b=0, c=27, d=68}
11: dec d      {a=479005293, b=0, c=27, d=67}
9: jnz d -2   {a=479005293, b=0, c=27, d=67}
10: inc a      {a=479005294, b=0, c=27, d=67}
11: dec d      {a=479005294, b=0, c=27, d=66}
9: jnz d -2   {a=479005294, b=0, c=27, d=66}
10: inc a      {a=479005295, b=0, c=27, d=66}
11: dec d      {a=479005295, b=0, c=27, d=65}
9: jnz d -2   {a=479005295, b=0, c=27, d=65}
10: inc a      {a=479005296, b=0, c=27, d=65}
11: dec d      {a=479005296, b=0, c=27, d=64}
9: jnz d -2   {a=479005296, b=0, c=27, d=64}
10: inc a      {a=479005297, b=0, c=27, d=64}
11: dec d      {a=479005297, b=0, c=27, d=63}
9: jnz d -2   {a=479005297, b=0, c=27, d=63}
10: inc a      {a=479005298, b=0, c=27, d=63}
11: dec d      {a=479005298, b=0, c=27, d=62}
9: jnz d -2   {a=479005298, b=0, c=27, d=62}
10: inc a      {a=479005299, b=0, c=27, d=62}
11: dec d      {a=479005299, b=0, c=27, d=61}
9: jnz d -2   {a=479005299, b=0, c=27, d=61}
10: inc a      {a=479005300, b=0, c=27, d=61}
11: dec d      {a=479005300, b=0, c=27, d=60}
9: jnz d -2   {a=479005300, b=0, c=27, d=60}
10: inc a      {a=479005301, b=0, c=27, d=60}
11: dec d      {a=479005301, b=0, c=27, d=59}
9: jnz d -2   {a=479005301, b=0, c=27, d=59}
10: inc a      {a=479005302, b=0, c=27, d=59}
11: dec d      {a=479005302, b=0, c=27, d=58}
9: jnz d -2   {a=479005302, b=0, c=27, d=58}
10: inc a      {a=479005303, b=0, c=27, d=58}
11: dec d      {a=479005303, b=0, c=27, d=57}
9: jnz d -2   {a=479005303, b=0, c=27, d=57}
10: inc a      {a=479005304, b=0, c=27, d=57}
11: dec d      {a=479005304, b=0, c=27, d=56}
9: jnz d -2   {a=479005304, b=0, c=27, d=56}
10: inc a      {a=479005305, b=0, c=27, d=56}
11: dec d      {a=479005305, b=0, c=27, d=55}
9: jnz d -2   {a=479005305, b=0, c=27, d=55}
10: inc a      {a=479005306, b=0, c=27, d=55}
11: dec d      {a=479005306, b=0, c=27, d=54}
9: jnz d -2   {a=479005306, b=0, c=27, d=54}
10: inc a      {a=479005307, b=0, c=27, d=54}
11: dec d      {a=479005307, b=0, c=27, d=53}
9: jnz d -2   {a=479005307, b=0, c=27, d=53}
10: inc a      {a=479005308, b=0, c=27, d=53}
11: dec d      {a=479005308, b=0, c=27, d=52}
9: jnz d -2   {a=479005308, b=0, c=27, d=52}
10: inc a      {a=479005309, b=0, c=27, d=52}
11: dec d      {a=479005309, b=0, c=27, d=51}
9: jnz d -2   {a=479005309, b=0, c=27, d=51}
10: inc a      {a=479005310, b=0, c=27, d=51}
11: dec d      {a=479005310, b=0, c=27, d=50}
9: jnz d -2   {a=479005310, b=0, c=27, d=50}
10: inc a      {a=479005311, b=0, c=27, d=50}
11: dec d      {a=479005311, b=0, c=27, d=49}
9: jnz d -2   {a=479005311, b=0, c=27, d=49}
10: inc a      {a=479005312, b=0, c=27, d=49}
11: dec d      {a=479005312, b=0, c=27, d=48}
9: jnz d -2   {a=479005312, b=0, c=27, d=48}
10: inc a      {a=479005313, b=0, c=27, d=48}
11: dec d      {a=479005313, b=0, c=27, d=47}
9: jnz d -2   {a=479005313, b=0, c=27, d=47}
10: inc a      {a=479005314, b=0, c=27, d=47}
11: dec d      {a=479005314, b=0, c=27, d=46}
9: jnz d -2   {a=479005314, b=0, c=27, d=46}
10: inc a      {a=479005315, b=0, c=27, d=46}
11: dec d      {a=479005315, b=0, c=27, d=45}
9: jnz d -2   {a=479005315, b=0, c=27, d=45}
10: inc a      {a=479005316, b=0, c=27, d=45}
11: dec d      {a=479005316, b=0, c=27, d=44}
9: jnz d -2   {a=479005316, b=0, c=27, d=44}
10: inc a      {a=479005317, b=0, c=27, d=44}
11: dec d      {a=479005317, b=0, c=27, d=43}
9: jnz d -2   {a=479005317, b=0, c=27, d=43}
10: inc a      {a=479005318, b=0, c=27, d=43}
11: dec d      {a=479005318, b=0, c=27, d=42}
9: jnz d -2   {a=479005318, b=0, c=27, d=42}
10: inc a      {a=479005319, b=0, c=27, d=42}
11: dec d      {a=479005319, b=0, c=27, d=41}
9: jnz d -2   {a=479005319, b=0, c=27, d=41}
10: inc a      {a=479005320, b=0, c=27, d=41}
11: dec d      {a=479005320, b=0, c=27, d=40}
9: jnz d -2   {a=479005320, b=0, c=27, d=40}
10: inc a      {a=479005321, b=0, c=27, d=40}
11: dec d      {a=479005321, b=0, c=27, d=39}
9: jnz d -2   {a=479005321, b=0, c=27, d=39}
10: inc a      {a=479005322, b=0, c=27, d=39}
11: dec d      {a=479005322, b=0, c=27, d=38}
9: jnz d -2   {a=479005322, b=0, c=27, d=38}
10: inc a      {a=479005323, b=0, c=27, d=38}
11: dec d      {a=479005323, b=0, c=27, d=37}
9: jnz d -2   {a=479005323, b=0, c=27, d=37}
10: inc a      {a=479005324, b=0, c=27, d=37}
11: dec d      {a=479005324, b=0, c=27, d=36}
9: jnz d -2   {a=479005324, b=0, c=27, d=36}
10: inc a      {a=479005325, b=0, c=27, d=36}
11: dec d      {a=479005325, b=0, c=27, d=35}
9: jnz d -2   {a=479005325, b=0, c=27, d=35}
10: inc a      {a=479005326, b=0, c=27, d=35}
11: dec d      {a=479005326, b=0, c=27, d=34}
9: jnz d -2   {a=479005326, b=0, c=27, d=34}
10: inc a      {a=479005327, b=0, c=27, d=34}
11: dec d      {a=479005327, b=0, c=27, d=33}
9: jnz d -2   {a=479005327, b=0, c=27, d=33}
10: inc a      {a=479005328, b=0, c=27, d=33}
11: dec d      {a=479005328, b=0, c=27, d=32}
9: jnz d -2   {a=479005328, b=0, c=27, d=32}
10: inc a      {a=479005329, b=0, c=27, d=32}
11: dec d      {a=479005329, b=0, c=27, d=31}
9: jnz d -2   {a=479005329, b=0, c=27, d=31}
10: inc a      {a=479005330, b=0, c=27, d=31}
11: dec d      {a=479005330, b=0, c=27, d=30}
9: jnz d -2   {a=479005330, b=0, c=27, d=30}
10: inc a      {a=479005331, b=0, c=27, d=30}
11: dec d      {a=479005331, b=0, c=27, d=29}
9: jnz d -2   {a=479005331, b=0, c=27, d=29}
10: inc a      {a=479005332, b=0, c=27, d=29}
11: dec d      {a=479005332, b=0, c=27, d=28}
9: jnz d -2   {a=479005332, b=0, c=27, d=28}
10: inc a      {a=479005333, b=0, c=27, d=28}
11: dec d      {a=479005333, b=0, c=27, d=27}
9: jnz d -2   {a=479005333, b=0, c=27, d=27}
10: inc a      {a=479005334, b=0, c=27, d=27}
11: dec d      {a=479005334, b=0, c=27, d=26}
9: jnz d -2   {a=479005334, b=0, c=27, d=26}
10: inc a      {a=479005335, b=0, c=27, d=26}
11: dec d      {a=479005335, b=0, c=27, d=25}
9: jnz d -2   {a=479005335, b=0, c=27, d=25}
10: inc a      {a=479005336, b=0, c=27, d=25}
11: dec d      {a=479005336, b=0, c=27, d=24}
9: jnz d -2   {a=479005336, b=0, c=27, d=24}
10: inc a      {a=479005337, b=0, c=27, d=24}
11: dec d      {a=479005337, b=0, c=27, d=23}
9: jnz d -2   {a=479005337, b=0, c=27, d=23}
10: inc a      {a=479005338, b=0, c=27, d=23}
11: dec d      {a=479005338, b=0, c=27, d=22}
9: jnz d -2   {a=479005338, b=0, c=27, d=22}
10: inc a      {a=479005339, b=0, c=27, d=22}
11: dec d      {a=479005339, b=0, c=27, d=21}
9: jnz d -2   {a=479005339, b=0, c=27, d=21}
10: inc a      {a=479005340, b=0, c=27, d=21}
11: dec d      {a=479005340, b=0, c=27, d=20}
9: jnz d -2   {a=479005340, b=0, c=27, d=20}
10: inc a      {a=479005341, b=0, c=27, d=20}
11: dec d      {a=479005341, b=0, c=27, d=19}
9: jnz d -2   {a=479005341, b=0, c=27, d=19}
10: inc a      {a=479005342, b=0, c=27, d=19}
11: dec d      {a=479005342, b=0, c=27, d=18}
9: jnz d -2   {a=479005342, b=0, c=27, d=18}
10: inc a      {a=479005343, b=0, c=27, d=18}
11: dec d      {a=479005343, b=0, c=27, d=17}
9: jnz d -2   {a=479005343, b=0, c=27, d=17}
10: inc a      {a=479005344, b=0, c=27, d=17}
11: dec d      {a=479005344, b=0, c=27, d=16}
9: jnz d -2   {a=479005344, b=0, c=27, d=16}
10: inc a      {a=479005345, b=0, c=27, d=16}
11: dec d      {a=479005345, b=0, c=27, d=15}
9: jnz d -2   {a=479005345, b=0, c=27, d=15}
10: inc a      {a=479005346, b=0, c=27, d=15}
11: dec d      {a=479005346, b=0, c=27, d=14}
9: jnz d -2   {a=479005346, b=0, c=27, d=14}
10: inc a      {a=479005347, b=0, c=27, d=14}
11: dec d      {a=479005347, b=0, c=27, d=13}
9: jnz d -2   {a=479005347, b=0, c=27, d=13}
10: inc a      {a=479005348, b=0, c=27, d=13}
11: dec d      {a=479005348, b=0, c=27, d=12}
9: jnz d -2   {a=479005348, b=0, c=27, d=12}
10: inc a      {a=479005349, b=0, c=27, d=12}
11: dec d      {a=479005349, b=0, c=27, d=11}
9: jnz d -2   {a=479005349, b=0, c=27, d=11}
10: inc a      {a=479005350, b=0, c=27, d=11}
11: dec d      {a=479005350, b=0, c=27, d=10}
9: jnz d -2   {a=479005350, b=0, c=27, d=10}
10: inc a      {a=479005351, b=0, c=27, d=10}
11: dec d      {a=479005351, b=0, c=27, d=9}
9: jnz d -2   {a=479005351, b=0, c=27, d=9}
10: inc a      {a=479005352, b=0, c=27, d=9}
11: dec d      {a=479005352, b=0, c=27, d=8}
9: jnz d -2   {a=479005352, b=0, c=27, d=8}
10: inc a      {a=479005353, b=0, c=27, d=8}
11: dec d      {a=479005353, b=0, c=27, d=7}
9: jnz d -2   {a=479005353, b=0, c=27, d=7}
10: inc a      {a=479005354, b=0, c=27, d=7}
11: dec d      {a=479005354, b=0, c=27, d=6}
9: jnz d -2   {a=479005354, b=0, c=27, d=6}
10: inc a      {a=479005355, b=0, c=27, d=6}
11: dec d      {a=479005355, b=0, c=27, d=5}
9: jnz d -2   {a=479005355, b=0, c=27, d=5}
10: inc a      {a=479005356, b=0, c=27, d=5}
11: dec d      {a=479005356, b=0, c=27, d=4}
9: jnz d -2   {a=479005356, b=0, c=27, d=4}
10: inc a      {a=479005357, b=0, c=27, d=4}
11: dec d      {a=479005357, b=0, c=27, d=3}
9: jnz d -2   {a=479005357, b=0, c=27, d=3}
10: inc a      {a=479005358, b=0, c=27, d=3}
11: dec d      {a=479005358, b=0, c=27, d=2}
9: jnz d -2   {a=479005358, b=0, c=27, d=2}
10: inc a      {a=479005359, b=0, c=27, d=2}
11: dec d      {a=479005359, b=0, c=27, d=1}
9: jnz d -2   {a=479005359, b=0, c=27, d=1}
10: inc a      {a=479005360, b=0, c=27, d=1}
11: dec d      {a=479005360, b=0, c=27, d=0}
12: jnz d -2   {a=479005360, b=0, c=27, d=0}
13: dec c      {a=479005360, b=0, c=26, d=0}
8: jnz c -5   {a=479005360, b=0, c=26, d=0}
9: cpy 80 d   {a=479005360, b=0, c=26, d=80}
10: inc a      {a=479005361, b=0, c=26, d=80}
11: dec d      {a=479005361, b=0, c=26, d=79}
9: jnz d -2   {a=479005361, b=0, c=26, d=79}
10: inc a      {a=479005362, b=0, c=26, d=79}
11: dec d      {a=479005362, b=0, c=26, d=78}
9: jnz d -2   {a=479005362, b=0, c=26, d=78}
10: inc a      {a=479005363, b=0, c=26, d=78}
11: dec d      {a=479005363, b=0, c=26, d=77}
9: jnz d -2   {a=479005363, b=0, c=26, d=77}
10: inc a      {a=479005364, b=0, c=26, d=77}
11: dec d      {a=479005364, b=0, c=26, d=76}
9: jnz d -2   {a=479005364, b=0, c=26, d=76}
10: inc a      {a=479005365, b=0, c=26, d=76}
11: dec d      {a=479005365, b=0, c=26, d=75}
9: jnz d -2   {a=479005365, b=0, c=26, d=75}
10: inc a      {a=479005366, b=0, c=26, d=75}
11: dec d      {a=479005366, b=0, c=26, d=74}
9: jnz d -2   {a=479005366, b=0, c=26, d=74}
10: inc a      {a=479005367, b=0, c=26, d=74}
11: dec d      {a=479005367, b=0, c=26, d=73}
9: jnz d -2   {a=479005367, b=0, c=26, d=73}
10: inc a      {a=479005368, b=0, c=26, d=73}
11: dec d      {a=479005368, b=0, c=26, d=72}
9: jnz d -2   {a=479005368, b=0, c=26, d=72}
10: inc a      {a=479005369, b=0, c=26, d=72}
11: dec d      {a=479005369, b=0, c=26, d=71}
9: jnz d -2   {a=479005369, b=0, c=26, d=71}
10: inc a      {a=479005370, b=0, c=26, d=71}
11: dec d      {a=479005370, b=0, c=26, d=70}
9: jnz d -2   {a=479005370, b=0, c=26, d=70}
10: inc a      {a=479005371, b=0, c=26, d=70}
11: dec d      {a=479005371, b=0, c=26, d=69}
9: jnz d -2   {a=479005371, b=0, c=26, d=69}
10: inc a      {a=479005372, b=0, c=26, d=69}
11: dec d      {a=479005372, b=0, c=26, d=68}
9: jnz d -2   {a=479005372, b=0, c=26, d=68}
10: inc a      {a=479005373, b=0, c=26, d=68}
11: dec d      {a=479005373, b=0, c=26, d=67}
9: jnz d -2   {a=479005373, b=0, c=26, d=67}
10: inc a      {a=479005374, b=0, c=26, d=67}
11: dec d      {a=479005374, b=0, c=26, d=66}
9: jnz d -2   {a=479005374, b=0, c=26, d=66}
10: inc a      {a=479005375, b=0, c=26, d=66}
11: dec d      {a=479005375, b=0, c=26, d=65}
9: jnz d -2   {a=479005375, b=0, c=26, d=65}
10: inc a      {a=479005376, b=0, c=26, d=65}
11: dec d      {a=479005376, b=0, c=26, d=64}
9: jnz d -2   {a=479005376, b=0, c=26, d=64}
10: inc a      {a=479005377, b=0, c=26, d=64}
11: dec d      {a=479005377, b=0, c=26, d=63}
9: jnz d -2   {a=479005377, b=0, c=26, d=63}
10: inc a      {a=479005378, b=0, c=26, d=63}
11: dec d      {a=479005378, b=0, c=26, d=62}
9: jnz d -2   {a=479005378, b=0, c=26, d=62}
10: inc a      {a=479005379, b=0, c=26, d=62}
11: dec d      {a=479005379, b=0, c=26, d=61}
9: jnz d -2   {a=479005379, b=0, c=26, d=61}
10: inc a      {a=479005380, b=0, c=26, d=61}
11: dec d      {a=479005380, b=0, c=26, d=60}
9: jnz d -2   {a=479005380, b=0, c=26, d=60}
10: inc a      {a=479005381, b=0, c=26, d=60}
11: dec d      {a=479005381, b=0, c=26, d=59}
9: jnz d -2   {a=479005381, b=0, c=26, d=59}
10: inc a      {a=479005382, b=0, c=26, d=59}
11: dec d      {a=479005382, b=0, c=26, d=58}
9: jnz d -2   {a=479005382, b=0, c=26, d=58}
10: inc a      {a=479005383, b=0, c=26, d=58}
11: dec d      {a=479005383, b=0, c=26, d=57}
9: jnz d -2   {a=479005383, b=0, c=26, d=57}
10: inc a      {a=479005384, b=0, c=26, d=57}
11: dec d      {a=479005384, b=0, c=26, d=56}
9: jnz d -2   {a=479005384, b=0, c=26, d=56}
10: inc a      {a=479005385, b=0, c=26, d=56}
11: dec d      {a=479005385, b=0, c=26, d=55}
9: jnz d -2   {a=479005385, b=0, c=26, d=55}
10: inc a      {a=479005386, b=0, c=26, d=55}
11: dec d      {a=479005386, b=0, c=26, d=54}
9: jnz d -2   {a=479005386, b=0, c=26, d=54}
10: inc a      {a=479005387, b=0, c=26, d=54}
11: dec d      {a=479005387, b=0, c=26, d=53}
9: jnz d -2   {a=479005387, b=0, c=26, d=53}
10: inc a      {a=479005388, b=0, c=26, d=53}
11: dec d      {a=479005388, b=0, c=26, d=52}
9: jnz d -2   {a=479005388, b=0, c=26, d=52}
10: inc a      {a=479005389, b=0, c=26, d=52}
11: dec d      {a=479005389, b=0, c=26, d=51}
9: jnz d -2   {a=479005389, b=0, c=26, d=51}
10: inc a      {a=479005390, b=0, c=26, d=51}
11: dec d      {a=479005390, b=0, c=26, d=50}
9: jnz d -2   {a=479005390, b=0, c=26, d=50}
10: inc a      {a=479005391, b=0, c=26, d=50}
11: dec d      {a=479005391, b=0, c=26, d=49}
9: jnz d -2   {a=479005391, b=0, c=26, d=49}
10: inc a      {a=479005392, b=0, c=26, d=49}
11: dec d      {a=479005392, b=0, c=26, d=48}
9: jnz d -2   {a=479005392, b=0, c=26, d=48}
10: inc a      {a=479005393, b=0, c=26, d=48}
11: dec d      {a=479005393, b=0, c=26, d=47}
9: jnz d -2   {a=479005393, b=0, c=26, d=47}
10: inc a      {a=479005394, b=0, c=26, d=47}
11: dec d      {a=479005394, b=0, c=26, d=46}
9: jnz d -2   {a=479005394, b=0, c=26, d=46}
10: inc a      {a=479005395, b=0, c=26, d=46}
11: dec d      {a=479005395, b=0, c=26, d=45}
9: jnz d -2   {a=479005395, b=0, c=26, d=45}
10: inc a      {a=479005396, b=0, c=26, d=45}
11: dec d      {a=479005396, b=0, c=26, d=44}
9: jnz d -2   {a=479005396, b=0, c=26, d=44}
10: inc a      {a=479005397, b=0, c=26, d=44}
11: dec d      {a=479005397, b=0, c=26, d=43}
9: jnz d -2   {a=479005397, b=0, c=26, d=43}
10: inc a      {a=479005398, b=0, c=26, d=43}
11: dec d      {a=479005398, b=0, c=26, d=42}
9: jnz d -2   {a=479005398, b=0, c=26, d=42}
10: inc a      {a=479005399, b=0, c=26, d=42}
11: dec d      {a=479005399, b=0, c=26, d=41}
9: jnz d -2   {a=479005399, b=0, c=26, d=41}
10: inc a      {a=479005400, b=0, c=26, d=41}
11: dec d      {a=479005400, b=0, c=26, d=40}
9: jnz d -2   {a=479005400, b=0, c=26, d=40}
10: inc a      {a=479005401, b=0, c=26, d=40}
11: dec d      {a=479005401, b=0, c=26, d=39}
9: jnz d -2   {a=479005401, b=0, c=26, d=39}
10: inc a      {a=479005402, b=0, c=26, d=39}
11: dec d      {a=479005402, b=0, c=26, d=38}
9: jnz d -2   {a=479005402, b=0, c=26, d=38}
10: inc a      {a=479005403, b=0, c=26, d=38}
11: dec d      {a=479005403, b=0, c=26, d=37}
9: jnz d -2   {a=479005403, b=0, c=26, d=37}
10: inc a      {a=479005404, b=0, c=26, d=37}
11: dec d      {a=479005404, b=0, c=26, d=36}
9: jnz d -2   {a=479005404, b=0, c=26, d=36}
10: inc a      {a=479005405, b=0, c=26, d=36}
11: dec d      {a=479005405, b=0, c=26, d=35}
9: jnz d -2   {a=479005405, b=0, c=26, d=35}
10: inc a      {a=479005406, b=0, c=26, d=35}
11: dec d      {a=479005406, b=0, c=26, d=34}
9: jnz d -2   {a=479005406, b=0, c=26, d=34}
10: inc a      {a=479005407, b=0, c=26, d=34}
11: dec d      {a=479005407, b=0, c=26, d=33}
9: jnz d -2   {a=479005407, b=0, c=26, d=33}
10: inc a      {a=479005408, b=0, c=26, d=33}
11: dec d      {a=479005408, b=0, c=26, d=32}
9: jnz d -2   {a=479005408, b=0, c=26, d=32}
10: inc a      {a=479005409, b=0, c=26, d=32}
11: dec d      {a=479005409, b=0, c=26, d=31}
9: jnz d -2   {a=479005409, b=0, c=26, d=31}
10: inc a      {a=479005410, b=0, c=26, d=31}
11: dec d      {a=479005410, b=0, c=26, d=30}
9: jnz d -2   {a=479005410, b=0, c=26, d=30}
